id,host_neighbourhood,zipcode,property_type,neighbourhood_group_cleansed,review_scores_rating
10968061,Minor,98122,Apartment,Central Area,100
10969868,Fremont,98103,House,Other neighborhoods,94
10986377,Phinney Ridge,98103,Apartment,Other neighborhoods,
11022927,Bryant,98105,Cottage,Other neighborhoods,96
11043911,North Admiral,98126,Townhouse,West Seattle,90
11047227,Madrona,98122,Apartment,Central Area,95
11069945,University District,98105,Apartment,University District,96
11082101,,98178,House,Rainier Valley,91
11089653,Capitol Hill,98122,Apartment,Capitol Hill,
11093014,University District,98115,Apartment,Other neighborhoods,87
11100061,Mount Baker,98144,House,Rainier Valley,100
11111222,Capitol Hill,98102,Apartment,Capitol Hill,90
11126156,Central Business District,98121,Apartment,Downtown,97
11128182,Madrona,98122,House,Central Area,97
11143024,North Beacon Hill,98144,Apartment,Beacon Hill,95
11143135,Stevens,98112,Apartment,Capitol Hill,93
11147078,Leschi,98144,Townhouse,Central Area,83
11149363,Phinney Ridge,98103,Guest suite,Other neighborhoods,96
11156208,Belltown,98121,Condominium,Downtown,
11159144,Capitol Hill,98102,Aparthotel,Capitol Hill,
11161633,Capitol Hill,98122,Apartment,Capitol Hill,94
11161891,Queen Anne,98109,House,Queen Anne,98
11166887,,,House,Central Area,100
11169269,Haller Lake,98133,House,Northgate,
11187428,Pike Place Market,98121,Apartment,Downtown,93
11187785,Pike Place Market,98101,Apartment,Downtown,89
11191342,Ballard,98107,Apartment,Ballard,95
11192852,Pike Place Market,98121,Apartment,Downtown,88
11192859,Pike Place Market,98121,Apartment,Downtown,94
11192918,Pike Place Market,98101,Apartment,Downtown,92
11192928,Pike Place Market,98101,Apartment,Downtown,96
11192936,Pike Place Market,98101,Apartment,Downtown,93
11193025,Pike Place Market,98101,Apartment,Downtown,98
11193030,Pike Place Market,98101,Apartment,Downtown,87
11193034,Pike Place Market,98101,Apartment,Downtown,
11193878,University District,98109,House,Queen Anne,89
11194237,University District,98109,House,Queen Anne,93
11194396,University District,98109,House,Queen Anne,100
11209111,Genesee,98116,House,West Seattle,77
11212116,Pike Place Market,98101,Apartment,Downtown,100
11229199,Fremont,98103,House,Other neighborhoods,96
11237487,Riverview,98106,House,Delridge,95
11237631,Ballard,98107,Townhouse,Ballard,
11238611,Columbia City,98118,Guest suite,Rainier Valley,94
11238941,Minor,98122,Apartment,Central Area,95
11244175,Capitol Hill,98102,Aparthotel,Capitol Hill,92
11254431,,98107,House,Ballard,100
11256133,Wallingford,98103,Guest suite,Other neighborhoods,100
11256469,Stevens,98112,Guest suite,Capitol Hill,
11257096,Fremont,98103,House,Other neighborhoods,
11259633,Central Business District,98101,Condominium,Downtown,93
11259957,,98103,House,Other neighborhoods,
11273183,Rainier Beach,98178,Guest suite,Rainier Valley,98
11279422,International District,98104,Apartment,Downtown,95
11285467,Georgetown,98108,House,Other neighborhoods,98
11298389,,98103,House,Other neighborhoods,93
11302585,Capitol Hill,98102,Apartment,Capitol Hill,98
11304405,Ballard,98117,Guest suite,Ballard,100
11304669,Belltown,98121,Condominium,Downtown,96
11308653,,98125,House,Northgate,100
11325366,,98144,House,Beacon Hill,89
11325489,Capitol Hill,98102,Apartment,Capitol Hill,97
11335586,Capitol Hill,98122,Apartment,Capitol Hill,93
11337213,Stevens,98112,Apartment,Capitol Hill,98
11337822,Gatewood,98136,Apartment,West Seattle,90
11342214,,98122,Apartment,Capitol Hill,80
11356904,Capitol Hill,98102,Apartment,Capitol Hill,91
11360591,Lower Queen Anne,98119,Serviced apartment,Queen Anne,86
11361785,Ballard,98117,Townhouse,Ballard,97
11363783,Cedar Park,98125,House,Lake City,92
11374133,Bryant,98115,Apartment,Other neighborhoods,
11374472,Cedar Park,98125,House,Lake City,95
11377276,Ballard,98117,Apartment,Ballard,93
11392479,Haller Lake,98133,Apartment,Northgate,94
11392677,Seward Park,98118,Guest suite,Seward Park,95
11395084,Cedar Park,98125,House,Lake City,98
11398085,Interbay,98199,Guesthouse,Interbay,98
11398892,Central Business District,98121,Apartment,Downtown,90
11399077,Central Business District,98121,Apartment,Downtown,98
11399365,Cedar Park,98125,House,Lake City,100
